idContract,branch,client,workerName,idWorker,startDate,endDate,endDateActual,weeklyHours,internalSales,hourlyCost,hourlyPrice,SnapshotDate
"36","Nord3","Client89","Francesca Verdi","460","2021-10-12","2021-12-19","2021-12-19","34","SalesMario","20","23","2023-01-01"
"37","Sud2","Client26","Davide Colombo","239","2021-09-11","","","26","SalesMarco","20","22","2023-01-01"
"38","Nord3","Client41","Sara Romano","226","2021-11-04","2022-04-15","2022-04-15","40","SalesMario","16","22","2023-01-01"
"39","Nord2","Client88","Sara Rossi","280","2022-04-15","2022-10-09","2022-10-09","15","SalesMarco","15","21","2023-01-01"
"40","Nord2","Client57","Matteo Bianchi","415","2022-09-29","2023-03-12","2023-03-12","15","SalesMarco","17","21","2023-01-01"
"41","Sud1","Client70","Anna Romano","424","2021-03-10","2022-01-06","2022-01-06","2","SalesLuigi","24","22","2023-01-01"
"42","Nord2","Client58","Elena Romano","111","2020-06-16","2021-02-24","2021-02-24","40","SalesGiulia","21","29","2023-01-01"
"43","Nord1","Client79","Paolo Romano","443","2022-10-27","2023-08-17","2023-03-27","2","SalesAnna","18","20","2023-01-01"
"44","Nord3","Client75","Elena Marino","439","2022-07-23","2023-04-25","2022-10-13","2","SalesMario","27","30","2023-01-01"
"45","Nord1","Client6","Matteo Colombo","411","2020-07-08","2021-02-05","2021-02-05","15","SalesAnna","20","25","2023-01-01"
"46","Nord1","BigClientB","Anna Romano","215","2021-08-20","2022-06-09","2022-06-09","15","SalesAnna","21","25","2023-01-01"
"47","Nord2","Client57","Paolo Romano","141","2021-03-24","2021-09-04","2021-05-09","1","SalesGiulia","27","29","2023-01-01"
"48","Nord3","Client59","Anna Rossi","164","2021-01-08","2021-02-15","2021-02-13","40","SalesLuca","24","26","2023-01-01"
"49","Sud2","Client53","Luca Verdi","215","2020-05-01","2021-02-07","2020-08-14","40","SalesGiulia","21","26","2023-01-01"
"50","Sud1","Client4","Sara Marino","154","2022-04-06","2022-11-12","2022-11-12","40","SalesElena","28","29","2023-01-01"
"51","Nord1","Client19","Elena Russo","423","2022-03-26","2022-08-02","2022-08-02","1","SalesPaolo","17","22","2023-01-01"
"52","Sud2","Client25","Luca Verdi","158","2022-10-25","2023-04-09","2023-03-19","40","SalesMarco","20","22","2023-01-01"
"53","Nord2","Client60","Matteo Esposito","395","2020-07-15","2020-10-14","2020-07-27","26","SalesGiulia","26","33","2023-01-01"
"54","Nord1","BigClientA","Matteo Ferrari","173","2021-04-23","2021-11-12","2021-11-12","10","SalesPaolo","19","26","2023-01-01"
"55","Sud1","Client80","Elena Bianchi","156","2022-08-21","2023-08-01","2022-09-06","1","SalesLuigi","27","32","2023-01-01"
"56","Sud2","Client88","Anna Romano","419","2020-03-14","2020-09-16","2020-09-16","34","SalesGiulia","28","36","2023-01-01"
"57","Nord2","Client82","Luca Romano","254","2022-03-31","2022-06-13","2022-05-15","34","SalesGiulia","16","23","2023-01-01"
"58","Sud1","Client34","Elena Ferrari","293","2020-10-14","2020-12-22","2020-12-22","15","SalesElena","29","32","2023-01-01"
"59","Sud1","Client80","Elena Colombo","428","2022-07-18","","","10","SalesLuigi","25","24","2023-01-01"
"60","Sud2","Client77","Francesca Esposito","117","2021-09-27","2022-04-10","2022-04-10","2","SalesGiulia","17","22","2023-01-01"
"61","Sud1","Client59","Anna Ferrari","246","2021-11-18","2022-01-31","2022-01-31","40","SalesLuigi","28","37","2023-01-01"
"62","Nord2","Client9","Anna Verdi","265","2022-02-01","2022-03-03","2022-03-03","34","SalesGiulia","25","32","2023-01-01"
"63","Sud3","Client10","Matteo Bianchi","308","2021-02-21","","","40","SalesMario","23","22","2023-01-01"
"64","Nord1","Client74","Paolo Ricci","190","2022-06-20","2023-03-14","2023-03-14","40","SalesAnna","29","32","2023-01-01"
"65","Sud2","Client94","Giulia Verdi","252","2022-02-23","2022-05-27","2022-05-27","10","SalesGiulia","23","24","2023-01-01"
"66","Nord2","Client12","Sara Romano","228","2020-07-11","2021-07-05","2021-07-05","15","SalesMarco","19","27","2023-01-01"
"67","Nord3","Client36","Paolo Rossi","177","2020-02-26","2020-10-12","2020-05-22","2","SalesMario","27","36","2023-01-01"
"68","Nord3","Client45","Giulia Ricci","335","2022-03-10","","","2","SalesMario","24","22","2023-01-01"
"69","Sud2","Client56","Sara Colombo","437","2020-12-04","2021-10-02","2021-09-25","40","SalesGiulia","17","20","2023-01-01"
"70","Nord2","Client71","Francesca Colombo","457","2020-03-05","2020-08-08","2020-08-08","15","SalesMarco","23","30","2023-01-01"
"71","Sud1","Client55","Giulia Rossi","350","2020-09-14","2020-10-29","2020-10-29","40","SalesElena","26","35","2023-01-01"
"72","Sud3","Client46","Luca Ferrari","487","2020-01-02","2020-03-03","2020-03-03","34","SalesMario","23","31","2023-01-01"
"73","Sud3","Client28","Elena Rossi","459","2022-01-14","2022-05-20","2022-05-20","26","SalesMario","18","23","2023-01-01"
"74","Sud1","Client67","Francesca Russo","193","2021-05-27","2021-06-26","2021-06-19","34","SalesElena","15","16","2023-01-01"
"75","Nord2","Client7","Marco Marino","352","2021-09-19","","","15","SalesMarco","24","22","2023-01-01"
"76","Sud1","Client50","Paolo Rossi","273","2021-09-19","2021-10-30","2021-10-30","34","SalesElena","16","24","2023-01-01"
"77","Nord3","Client68","Davide Rossi","392","2022-11-30","2023-09-28","2023-09-28","26","SalesLuca","20","17","2023-01-01"
"78","Nord2","Client34","Paolo Rossi","190","2022-06-18","","","34","SalesGiulia","21","22","2023-01-01"
"79","Nord2","Client2","Paolo Esposito","484","2021-06-01","2021-11-05","2021-11-05","15","SalesGiulia","16","20","2023-01-01"
"80","Sud1","Client49","Elena Colombo","395","2022-02-23","2022-11-23","2022-04-17","1","SalesElena","24","29","2023-01-01"
"81","Sud3","Client93","Anna Rossi","158","2021-10-29","2021-12-03","2021-12-03","40","SalesMario","18","23","2023-01-01"
"82","Nord2","Client41","Francesca Romano","377","2022-07-01","2022-09-22","2022-09-07","10","SalesGiulia","26","27","2023-01-01"
"83","Nord3","Client38","Francesca Esposito","495","2021-12-29","2022-04-11","2022-03-31","15","SalesLuca","23","30","2023-01-01"
"84","Sud2","Client72","Davide Verdi","156","2022-02-10","2022-12-20","2022-11-17","34","SalesMarco","16","19","2023-01-01"
"85","Nord2","Client58","Davide Colombo","139","2022-12-26","2023-03-05","2023-03-05","40","SalesGiulia","27","28","2023-01-01"
"86","Sud1","Client28","Giulia Marino","183","2021-11-15","2022-03-11","2022-03-11","34","SalesElena","18","25","2023-01-01"
"87","Nord3","Client20","Luca Rossi","473","2020-02-03","2020-11-30","2020-11-30","34","SalesLuca","29","37","2023-01-01"
"88","Nord3","Client81","Giulia Marino","123","2020-06-09","2021-06-02","2021-06-02","2","SalesLuca","27","36","2023-01-01"
"89","Nord1","Client20","Sara Bianchi","294","2022-03-11","2022-12-31","2022-12-31","34","SalesPaolo","21","18","2023-01-01"
"90","Nord3","Client41","Davide Bianchi","111","2022-05-23","","","10","SalesLuca","15","17","2023-01-01"
"91","Sud2","Client49","Anna Russo","298","2022-03-27","2022-12-15","2022-12-15","15","SalesMarco","21","23","2023-01-01"
"92","Sud3","Client50","Marco Ricci","395","2021-01-27","2021-04-26","2021-03-23","10","SalesElena","17","20","2023-01-01"
"93","Nord1","Client62","Luca Bianchi","371","2022-07-10","","","40","SalesPaolo","16","22","2023-01-01"
"94","Nord3","Client48","Matteo Esposito","459","2021-03-27","2021-11-15","2021-05-11","26","SalesMario","15","24","2023-01-01"
"95","Sud1","Client72","Paolo Russo","221","2021-06-21","2022-06-08","2022-06-08","10","SalesLuigi","15","24","2023-01-01"
"96","Nord2","Client70","Sara Marino","215","2022-10-03","2023-05-09","2023-05-09","15","SalesMarco","23","30","2023-01-01"
"97","Nord1","Client71","Anna Verdi","291","2022-05-19","2022-10-19","2022-10-19","26","SalesAnna","17","20","2023-01-01"
"98","Sud3","Client37","Marco Bianchi","246","2022-11-05","2022-12-14","2022-12-14","26","SalesElena","20","26","2023-01-01"
"99","Nord3","Client29","Elena Marino","403","2022-02-22","2022-11-14","2022-11-14","34","SalesLuca","19","23","2023-01-01"
"100","Sud1","Client34","Anna Romano","241","2020-11-12","2021-04-09","2021-04-09","10","SalesElena","26","27","2023-01-01"
"101","Nord2","Client16","Anna Bianchi","158","2020-02-11","2020-07-17","2020-07-17","15","SalesGiulia","28","24","2023-01-01"
"102","Nord1","Client55","Matteo Marino","461","2020-02-11","2020-07-01","2020-07-01","34","SalesAnna","17","23","2023-01-01"
"103","Nord1","Client70","Anna Rossi","224","2022-02-04","2022-11-21","2022-11-21","2","SalesAnna","21","25","2023-01-01"
"104","Nord2","Client57","Giulia Colombo","152","2021-05-06","2022-03-27","2021-07-13","34","SalesGiulia","18","27","2023-01-01"
"105","Nord2","Client94","Luca Verdi","121","2022-03-04","2022-05-15","2022-04-06","40","SalesMarco","20","26","2023-01-01"
"106","Sud1","Client30","Matteo Colombo","249","2022-04-05","2022-07-17","2022-07-17","10","SalesLuigi","21","27","2023-01-01"
"107","Nord2","Client70","Marco Romano","300","2022-03-21","2023-03-17","2023-03-17","15","SalesGiulia","16","25","2023-01-01"
"108","Sud1","Client47","Paolo Bianchi","206","2020-02-13","2020-07-20","2020-05-30","34","SalesLuigi","29","25","2023-01-01"
"109","Nord2","Client12","Elena Verdi","107","2021-06-16","2021-11-24","2021-11-24","10","SalesMarco","15","20","2023-01-01"
"110","Nord1","BigClientB","Matteo Marino","352","2020-07-16","2020-12-04","2020-10-25","34","SalesPaolo","27","30","2023-01-01"
"111","Sud2","Client53","Luca Romano","364","2021-03-20","2022-01-07","2022-01-07","15","SalesMarco","25","31","2023-01-01"
"112","Nord1","Client52","Giulia Rossi","121","2020-07-11","2021-04-22","2021-04-22","26","SalesAnna","27","36","2023-01-01"
"113","Nord1","Client19","Paolo Esposito","130","2020-02-18","2020-03-21","2020-03-21","2","SalesPaolo","16","17","2023-01-01"
"114","Sud3","Client56","Davide Bianchi","293","2022-03-13","2022-08-30","2022-04-16","15","SalesElena","16","19","2023-01-01"
"115","Sud3","Client89","Giulia Romano","250","2020-11-12","2021-04-13","2021-01-24","2","SalesMario","25","23","2023-01-01"
"116","Nord1","Client88","Giulia Ricci","362","2021-09-01","2021-11-23","2021-11-23","15","SalesAnna","20","16","2023-01-01"
"117","Nord3","Client60","Paolo Romano","464","2022-02-19","2023-01-29","2023-01-29","40","SalesLuca","15","19","2023-01-01"
"118","Nord1","Client57","Marco Ricci","285","2020-03-19","2020-05-27","2020-05-27","15","SalesPaolo","16","23","2023-01-01"
"119","Nord2","Client1","Marco Colombo","294","2020-03-27","2020-08-31","2020-08-31","34","SalesGiulia","27","28","2023-01-01"
"120","Sud3","Client35","Luca Russo","331","2020-06-04","2020-12-25","2020-06-25","26","SalesElena","17","18","2023-01-01"
"121","Sud1","Client64","Marco Bianchi","400","2021-07-09","2021-11-11","2021-11-11","10","SalesElena","26","23","2023-01-01"
"122","Sud3","Client43","Luca Esposito","317","2022-04-22","","","40","SalesMario","28","33","2023-01-01"
"123","Sud2","Client64","Sara Bianchi","486","2021-08-24","2021-10-18","2021-10-18","15","SalesMarco","26","32","2023-01-01"
"124","Sud3","Client87","Elena Verdi","255","2020-10-25","2021-10-23","2021-08-16","15","SalesElena","28","31","2023-01-01"
"125","Nord3","Client13","Davide Ricci","360","2020-05-22","2020-08-25","2020-08-25","1","SalesMario","27","33","2023-01-01"
"126","Sud2","Client19","Elena Rossi","119","2022-01-22","2022-12-25","2022-12-25","34","SalesGiulia","24","29","2023-01-01"
"127","Sud2","Client9","Paolo Colombo","101","2020-10-20","2021-07-31","2021-07-31","2","SalesMarco","23","30","2023-01-01"
"128","Nord1","BigClientB","Davide Bianchi","302","2020-12-22","2021-04-22","2021-04-22","10","SalesAnna","29","34","2023-01-01"
"129","Sud1","Client85","Anna Esposito","448","2020-08-14","2021-01-09","2021-01-09","34","SalesLuigi","15","13","2023-01-01"
"130","Sud2","Client3","Elena Rossi","437","2021-11-24","2022-09-05","2022-03-10","40","SalesGiulia","22","26","2023-01-01"
"131","Sud2","Client66","Giulia Colombo","457","2022-04-01","2022-10-23","2022-10-23","10","SalesMarco","29","33","2023-01-01"
"132","Sud3","Client65","Marco Rossi","106","2022-04-22","2022-09-24","2022-09-24","1","SalesElena","23","25","2023-01-01"
"133","Nord3","Client35","Giulia Romano","494","2022-07-04","2023-05-17","2023-05-17","1","SalesLuca","29","31","2023-01-01"
"134","Sud2","Client8","Elena Ferrari","316","2021-05-30","2021-10-18","2021-10-18","10","SalesGiulia","21","25","2023-01-01"
"135","Nord3","Client73","Sara Romano","342","2020-01-03","2020-08-19","2020-08-19","26","SalesMario","16","21","2023-01-01"
"136","Nord2","Client45","Elena Ferrari","428","2020-02-12","2020-11-25","2020-11-25","15","SalesMarco","17","23","2023-01-01"
"137","Sud1","Client92","Anna Russo","305","2020-05-15","2020-12-05","2020-12-05","1","SalesLuigi","17","18","2023-01-01"
"138","Sud1","Client11","Anna Verdi","422","2021-04-09","2022-02-11","2022-02-11","26","SalesLuigi","19","26","2023-01-01"
"139","Nord3","Client81","Matteo Romano","301","2021-09-25","2022-04-27","2022-04-27","2","SalesLuca","15","20","2023-01-01"
"140","Nord1","Client27","Davide Verdi","292","2022-06-16","2023-01-06","2022-09-29","10","SalesAnna","16","24","2023-01-01"
"141","Nord2","Client2","Sara Romano","329","2021-06-06","","","15","SalesGiulia","26","35","2023-01-01"
"142","Sud2","Client54","Marco Esposito","453","2020-05-06","2020-09-03","2020-09-03","15","SalesGiulia","26","34","2023-01-01"
"143","Sud3","Client51","Giulia Verdi","244","2020-10-28","2021-10-03","2021-10-03","10","SalesElena","21","28","2023-01-01"
"144","Nord3","Client71","Francesca Romano","216","2022-01-17","2022-03-04","2022-03-04","10","SalesMario","16","25","2023-01-01"
"145","Nord1","BigClientA","Sara Verdi","459","2021-09-25","2022-05-01","2022-05-01","2","SalesAnna","15","22","2023-01-01"
"146","Sud1","Client29","Luca Bianchi","420","2021-03-22","2022-01-09","2022-01-09","2","SalesElena","16","12","2023-01-01"
"147","Sud2","Client22","Elena Bianchi","165","2021-07-28","2022-03-12","2022-01-08","40","SalesMarco","17","24","2023-01-01"
"148","Sud2","Client64","Luca Rossi","390","2021-10-30","2022-09-09","2022-01-09","26","SalesGiulia","18","23","2023-01-01"
"149","Nord2","Client3","Francesca Marino","483","2020-08-18","2020-11-22","2020-10-24","1","SalesMarco","29","27","2023-01-01"
"150","Sud2","Client33","Davide Verdi","152","2020-06-30","2021-06-15","2021-06-15","26","SalesMarco","17","23","2023-01-01"
"151","Sud2","Client93","Giulia Russo","440","2022-11-13","2023-08-17","2023-08-17","10","SalesMarco","22","21","2023-01-01"
"152","Nord3","Client63","Luca Russo","429","2022-03-15","2022-10-14","2022-10-14","10","SalesLuca","15","16","2023-01-01"
"153","Nord1","BigClientB","Sara Russo","442","2020-03-30","2020-11-07","2020-11-07","1","SalesAnna","22","24","2023-01-01"
"154","Nord3","Client27","Giulia Ricci","108","2022-02-02","2022-11-21","2022-11-21","1","SalesLuca","25","32","2023-01-01"
"155","Sud2","Client95","Paolo Romano","250","2020-02-08","2021-02-02","2021-02-02","34","SalesMarco","27","33","2023-01-01"
"156","Sud1","Client38","Paolo Marino","492","2022-01-01","2022-03-30","2022-03-30","26","SalesElena","26","23","2023-01-01"
"157","Nord2","Client62","Anna Ferrari","291","2022-09-10","2023-04-11","2023-04-11","10","SalesMarco","19","20","2023-01-01"
"158","Nord2","Client47","Matteo Bianchi","192","2020-03-02","2020-06-24","2020-06-24","2","SalesGiulia","22","23","2023-01-01"
"159","Sud2","Client15","Marco Esposito","392","2021-06-28","","","10","SalesGiulia","22","31","2023-01-01"
"160","Nord3","Client79","Anna Ricci","462","2021-04-04","2021-07-20","2021-05-28","40","SalesMario","28","24","2023-01-01"
"161","Nord2","Client4","Giulia Esposito","483","2020-01-07","2020-04-07","2020-01-12","26","SalesMarco","19","20","2023-01-01"
"162","Sud1","Client93","Luca Russo","178","2022-06-05","2022-10-09","2022-10-09","26","SalesElena","29","30","2023-01-01"
"163","Sud1","Client35","Giulia Bianchi","438","2020-11-16","","","10","SalesElena","27","31","2023-01-01"
"164","Nord3","Client8","Giulia Russo","310","2021-11-17","2022-08-29","2022-04-27","40","SalesMario","15","20","2023-01-01"
"165","Nord3","Client69","Matteo Romano","239","2022-01-09","2022-08-04","2022-08-04","1","SalesMario","15","24","2023-01-01"
"166","Nord3","Client81","Paolo Verdi","158","2021-04-21","2021-11-13","2021-06-10","2","SalesMario","26","27","2023-01-01"
"167","Nord3","Client54","Anna Bianchi","169","2021-04-12","2021-10-20","2021-10-20","26","SalesMario","28","36","2023-01-01"
"168","Sud2","Client68","Davide Rossi","388","2021-12-20","2022-07-26","2022-07-26","34","SalesMarco","26","34","2023-01-01"
"169","Nord3","Client47","Giulia Romano","486","2020-08-20","2021-06-19","2021-06-19","34","SalesLuca","15","21","2023-01-01"
"170","Sud1","Client17","Paolo Ferrari","475","2020-04-09","2020-11-04","2020-11-04","10","SalesElena","21","28","2023-01-01"
"171","Sud2","Client54","Paolo Bianchi","133","2022-12-13","2023-03-01","2023-02-15","40","SalesMarco","28","35","2023-01-01"
"172","Sud2","Client13","Marco Romano","180","2021-04-23","2022-01-06","2022-01-06","34","SalesGiulia","17","19","2023-01-01"
"173","Nord3","Client16","Sara Esposito","392","2020-08-01","2020-10-26","2020-10-26","40","SalesLuca","18","19","2023-01-01"
"174","Nord3","Client6","Paolo Verdi","488","2021-12-18","2022-04-30","2022-04-30","15","SalesLuca","22","30","2023-01-01"
"175","Nord2","Client96","Francesca Rossi","494","2021-10-20","2022-05-21","2022-04-05","10","SalesMarco","23","21","2023-01-01"
"176","Sud2","Client62","Marco Verdi","177","2021-09-25","2022-09-16","2022-09-16","26","SalesMarco","22","27","2023-01-01"
"177","Sud2","Client4","Francesca Bianchi","266","2021-04-18","2021-06-25","2021-06-25","10","SalesGiulia","21","26","2023-01-01"
"178","Sud2","Client94","Paolo Rossi","204","2020-11-03","2021-06-26","2021-06-26","34","SalesGiulia","29","35","2023-01-01"
"179","Sud2","Client92","Francesca Ricci","463","2020-08-04","2020-12-13","2020-12-13","2","SalesGiulia","15","22","2023-01-01"
"180","Sud2","Client39","Luca Russo","269","2020-02-15","2020-06-02","2020-06-02","34","SalesMarco","18","19","2023-01-01"
"181","Sud1","Client20","Sara Bianchi","102","2020-04-09","2020-10-26","2020-10-26","40","SalesLuigi","17","22","2023-01-01"
"182","Nord2","Client84","Sara Romano","215","2022-12-30","2023-05-04","2023-05-04","26","SalesGiulia","29","31","2023-01-01"
"183","Sud2","Client23","Giulia Rossi","222","2020-03-15","2020-08-05","2020-08-05","1","SalesMarco","21","29","2023-01-01"
"184","Nord1","Client63","Sara Colombo","264","2020-07-24","2021-06-03","2021-06-03","1","SalesPaolo","19","21","2023-01-01"
"185","Sud1","Client64","Paolo Rossi","142","2022-01-20","2022-09-11","2022-09-11","15","SalesLuigi","25","26","2023-01-01"
"186","Nord1","Client67","Anna Marino","350","2021-05-01","2021-06-23","2021-06-23","15","SalesAnna","23","21","2023-01-01"
"187","Nord3","Client13","Davide Colombo","370","2021-08-03","2022-06-09","2022-06-09","26","SalesLuca","20","29","2023-01-01"
"188","Sud1","Client42","Luca Verdi","237","2021-01-27","2021-07-17","2021-07-17","15","SalesElena","19","20","2023-01-01"
"189","Nord2","Client46","Anna Esposito","108","2021-12-29","2022-03-01","2022-03-01","34","SalesMarco","22","26","2023-01-01"
"190","Nord3","Client24","Paolo Ricci","395","2022-05-03","2022-09-17","2022-09-17","26","SalesLuca","16","18","2023-01-01"
"191","Nord1","Client97","Luca Romano","368","2020-11-04","2021-01-24","2020-12-17","34","SalesAnna","27","29","2023-01-01"
"192","Sud3","Client60","Giulia Colombo","471","2020-09-15","2021-05-28","2021-05-28","1","SalesElena","17","22","2023-01-01"
"193","Nord2","Client38","Francesca Marino","199","2021-03-08","2021-10-20","2021-03-24","34","SalesGiulia","23","25","2023-01-01"
"194","Sud2","Client18","Marco Ricci","413","2021-07-15","2022-03-12","2022-03-12","26","SalesMarco","22","27","2023-01-01"
"195","Sud2","Client16","Marco Ricci","263","2020-09-08","2021-08-31","2021-07-27","34","SalesMarco","24","29","2023-01-01"
"196","Sud2","Client49","Paolo Colombo","362","2020-02-25","2020-07-17","2020-04-10","1","SalesMarco","19","28","2023-01-01"
"197","Nord3","Client40","Davide Ricci","102","2022-03-07","2022-06-15","2022-04-28","15","SalesLuca","23","28","2023-01-01"
"198","Sud2","Client45","Matteo Bianchi","128","2021-07-23","2021-10-27","2021-10-27","2","SalesGiulia","24","31","2023-01-01"
"199","Nord3","Client23","Davide Rossi","170","2020-05-26","2021-02-08","2020-11-23","40","SalesMario","16","25","2023-01-01"
"200","Nord3","Client24","Paolo Ricci","475","2021-12-02","2022-06-07","2022-02-20","15","SalesLuca","18","19","2023-01-01"
"201","Nord2","Client69","Paolo Esposito","472","2021-05-18","2021-12-24","2021-12-24","15","SalesMarco","21","28","2023-01-01"
"202","Sud2","Client68","Marco Bianchi","351","2022-10-27","","","40","SalesGiulia","29","36","2023-01-01"
"203","Sud3","Client86","Luca Russo","191","2020-02-18","2020-04-21","2020-04-21","15","SalesMario","19","15","2023-01-01"
"204","Sud1","Client75","Sara Ricci","412","2021-03-24","2021-11-19","2021-11-19","26","SalesElena","28","29","2023-01-01"
"205","Nord1","Client22","Sara Russo","174","2021-09-30","2021-11-05","2021-11-05","1","SalesPaolo","16","22","2023-01-01"
"206","Sud2","Client51","Paolo Ricci","285","2020-07-10","","","15","SalesGiulia","28","25","2023-01-01"
"207","Nord2","Client67","Luca Colombo","484","2021-10-25","2022-08-15","2022-08-15","34","SalesGiulia","28","37","2023-01-01"
"208","Sud3","Client59","Luca Marino","411","2022-07-18","2023-02-11","2023-02-11","40","SalesElena","21","26","2023-01-01"
"209","Sud2","Client59","Elena Romano","376","2022-06-09","2023-04-10","2023-04-10","1","SalesGiulia","29","32","2023-01-01"
"210","Sud1","Client31","Elena Verdi","275","2022-10-09","2023-09-02","2023-09-02","2","SalesElena","29","36","2023-01-01"
"211","Nord3","Client56","Davide Ricci","256","2021-01-03","","","2","SalesLuca","19","25","2023-01-01"
"212","Nord3","Client63","Paolo Esposito","284","2022-01-31","2022-12-23","2022-12-23","10","SalesMario","21","22","2023-01-01"
"213","Sud3","Client28","Matteo Colombo","375","2022-02-03","2022-07-05","2022-07-05","40","SalesMario","17","22","2023-01-01"
"214","Nord2","Client1","Francesca Verdi","429","2022-08-17","2022-12-04","2022-12-04","34","SalesMarco","20","22","2023-01-01"
"215","Nord2","Client14","Anna Rossi","360","2021-06-15","","","10","SalesMarco","27","33","2023-01-01"
"216","Nord2","Client39","Marco Romano","395","2020-02-28","2020-12-09","2020-12-09","26","SalesGiulia","22","26","2023-01-01"
"217","Nord2","Client82","Anna Russo","100","2022-11-28","2023-06-16","2023-06-16","1","SalesMarco","21","25","2023-01-01"
"218","Nord2","Client30","Francesca Bianchi","438","2022-10-27","2023-06-02","2023-06-02","15","SalesGiulia","17","25","2023-01-01"
"219","Nord2","Client95","Marco Rossi","385","2021-04-04","2021-12-17","2021-12-17","1","SalesMarco","27","36","2023-01-01"
